Facility Id,Facility Name,Facility Type,Bed Capacity,Region,Licence Issue Date,Inspection Date,Gps Location,Remarks
HF-002077,Osborne Inc Polyclinic,Polyclinic,10,-,2018-01-16,2022-10-21,-,-
HF-002078,Brewer Llc,Community Health Center,0,-,2020-01-04,2024-09-26,"13.10958, -59.29898",Good
HF-002079,"Johnson, Munoz And Cruz",Hospital,398,-,2017-01-19,2022-11-09,"-59.13637, 12.78517",Needs upgrade
HF-002080,Delacruz Llc,Community Health Center,87,-,2019-03-07,2025-03-07,"-58.80138, 12.76936",-
HF-002081,"Frey, Fernandez And Wallace Hospital",Hospital,269,-,2020-06-27,2025-01-23,"124332.0, 591558.0",-
HF-002082,"Taylor,-Horn-And-Fox",Polyclinic,331,-,2018-08-26,2024-01-28,"-59.2153, 13.25637",-
HF-002083,"Hodge, Adkins And Price",Polyclinic,10,-,2018-02-19,2022-08-29,-,-
HF-002084,Flores Inc,Polyclinic,349,St. Peter,2021-12-29,2025-07-21,"12.72592, -59.23822",-
HF-002085,Powell-Saunders,Hospital,372,-,2019-01-23,2025-12-09,"13414.0, 5901.0",Good
HF-002086,Daniels-Perez Hospital,Community Health Center,311,-,2019-07-26,2022-01-01,"-59.09835, 13.06911",-
HF-002087,"Mckay, Smith And Lee Hospital",-,10,-,2016-06-01,2020-02-09,"-58.74921, 12.93395",-
HF-002088,Garcia And Sons,Polyclinic,494,St. John,2016-11-22,2019-08-24,"-58.72101, 12.84164",-
HF-002089,"Rhodes, Myers And Miller",Hospital,468,-,2016-12-19,2019-04-16,-,Reinspection due
HF-002090,Marshall-Nguyen,Polyclinic,51,-,,2022-04-11,-,Reinspection due
HF-002091,"Mccoy,-Johnson-And-Johnson",Community Health Center,308,-,2018-11-30,2021-05-17,"-59.15343, 12.91021",Follow-up 2023
HF-002092,Flores Ltd Hospital,-,0,St. John,2019-11-30,2022-05-23,-,-
HF-002093,Evans-Smith,-,10,-,2022-03-07,2024-04-06,-,-
HF-002094,Alvarez-Scott Hospital,Community Health Center,0,St. Andrew,2023-05-21,2024-07-01,"-59.25522, 13.07114",Needs upgrade
HF-002095,"Munoz, Mccarthy And Warren Hospital",Polyclinic,328,St. John,2023-05-16,2025-06-13,-,Reinspection due
HF-002096,"Knight,-Lowe-And-Palmer Hospital",Polyclinic,37,-,2023-10-13,2024-05-30,"13017.0, 59739.0",Follow-up 2023
HF-002097,Brown Clinic,Polyclinic,311,St. Peter,2016-07-19,2024-07-06,"13157.0, 58446.0",-
HF-002098,Lee-Santos Hospital,Hospital,194,-,2021-08-30,2024-05-01,"-58.74527, 12.93214",-
HF-002099,Griffin-Huff Hospital,Hospital,489,-,2024-06-15,2024-08-17,-,-
HF-002100,Jackson Hospital,Hospital,0,-,2018-06-30,2022-03-10,"-59.18411, 13.25493",Good
HF-002101,Green Ltd Infirmary,Hospital,413,-,2019-02-02,2025-02-05,"-58.71069, 13.22619",Needs upgrade
HF-002102,"Foster, Salinas And Villegas",Community Health Center,312,-,2025-06-23,,-,Follow-up 2023
HF-002103,Martinez Infirmary,Community Health Center,10,-,2024-01-17,2025-10-30,"13.22234, -59.06003",Reinspection due
HF-002104,Logan-Huffman,Hospital,389,St. John,2020-09-03,2023-06-08,"-58.95232, 12.92346",-
HF-002105,"Snyder, Walker And Peterson Hospital",Community Health Center,10,St. James,2019-02-20,2023-07-11,"-58.82632, 12.82358",Follow-up 2023
HF-002106,"Singleton,-Thomas-And-Delgado Hospital",Community Health Center,10,St. George,2024-11-17,2024-12-28,"-58.95802, 12.89767",-
HF-002107,Page Clinic,Polyclinic,0,St. Andrew,2021-09-20,2025-02-13,"131328.0, 59755.0",Follow-up 2023
HF-002108,"Jones, Holmes And Garcia Hospital",Community Health Center,0,-,2020-08-18,2025-03-30,-,-
HF-002109,"Diaz, Porter And Mason",Hospital,271,-,2017-12-10,2024-10-19,-,-
HF-002110,"Blanchard, Martin And Calderon Infirmary",Polyclinic,0,St. Michael,2021-11-21,2023-10-29,"-58.8211, 13.06441",-
HF-002111,"Elliott, Chan And Barr Hospital",Hospital,0,St. Peter,2016-07-31,2021-07-24,"125049.0, 59635.0",-
HF-002112,Lopez Polyclinic,-,0,-,2018-07-06,2018-07-26,"-59.23375, 12.88086",Good
HF-002113,Hendricks- Infirmary,Polyclinic,477,-,2018-10-28,2020-12-03,-,Follow-up 2023
HF-002114,Allen-Ltd Medical Center,-,307,-,2021-10-08,2021-11-05,"-59.04192, 13.2496",Follow-up 2023
HF-002115,"Blair, Simmons And Castaneda Medical Center",Community Health Center,415,-,2019-04-07,2019-07-21,-,Needs upgrade
HF-002116,"Stone,-Collins-And-Leblanc Health Centre",Community Health Center,202,-,2023-03-01,2024-01-19,"-59.27973, 13.07518",-
HF-002117,Kemp-Nelson Infirmary,Polyclinic,293,-,2018-11-22,2023-06-24,-,-
HF-002118,Turner-Brown Hospital,Polyclinic,248,-,2017-07-18,,"-58.75714, 13.02392",-
HF-002119,"Ibarra, Arnold And Cunningham Clinic",Community Health Center,0,St. Lucy,2017-04-27,2020-10-20,"13335.0, 58461.0",Follow-up 2023
HF-002120,Mckinney-Hernandez,Community Health Center,105,St. Andrew,2021-10-14,2022-07-29,"-58.73264, 13.22433",Follow-up 2023
HF-002121,Thomas-Thornton Infirmary,Community Health Center,418,-,2019-03-03,2023-01-16,-,Reinspection due
HF-002122,Colon-Adams Hospital,-,225,-,2018-07-07,2019-06-25,"-59.08107, 13.16711",Follow-up 2023
HF-002123,"Reed, Martin And Campos Clinic",-,0,-,2019-12-13,2025-05-09,-,Good
HF-002124,Sparks Group Hospital,Polyclinic,285,-,2019-11-03,2023-03-15,"-59.09867, 13.00288",-
HF-002125,"Perez, Jones And Jensen",Polyclinic,0,St. Peter,2022-04-25,2023-09-18,"-58.93326, 13.07313",-
HF-002126,"Roy, Faulkner And Wilson Clinic",Polyclinic,367,St. Andrew,2021-01-26,2025-02-02,-,Needs upgrade
HF-002127,Cannon-Taylor Hospital,Hospital,352,-,2016-03-12,2019-12-09,-,-
HF-002128,"Woods, Cook And Callahan Infirmary",Community Health Center,0,St. Peter,2018-05-20,2022-02-14,"-59.03275, 13.23283",Reinspection due
HF-002129,Cain-Keller Polyclinic,Community Health Center,0,-,2023-04-08,2025-12-14,"125848.0, 585131.0",Good
HF-002130,Carter-Davidson Health Centre,Polyclinic,370,-,2019-03-26,2023-07-21,"13.04147, -59.21743",Follow-up 2023
HF-002131,Mills Health Centre,Hospital,0,-,2018-10-14,2020-02-12,-,-
HF-002132,"Alexander, Jones And Anderson Infirmary",Community Health Center,116,St. James,2019-05-06,2024-01-17,"-59.28706, 13.01059",Reinspection due
HF-002133,Hansen-Price Clinic,Community Health Center,147,-,2019-02-26,2019-09-08,-,-
HF-002134,Reed Health Centre,-,0,Christ Church,2016-10-16,2018-09-12,"-58.71982, 12.7444",-
HF-002135,Bradley-Glenn,-,457,-,2021-07-16,2023-09-19,"-59.23865, 13.28402",-
HF-002136,Atkins Clinic,Polyclinic,304,-,2021-05-07,2022-05-21,-,Reinspection due
HF-002137,Bowen-Giles,Polyclinic,302,-,2017-04-14,2021-02-15,-,-
HF-002138,Smith-Jackson Health Centre,Community Health Center,8,-,2022-10-06,2022-11-29,"-59.10117, 12.74726",Reinspection due
HF-002139,Jones-Diaz,Polyclinic,0,-,2024-03-08,2025-01-07,-,Needs upgrade
HF-002140,"Payne, Ware And Liu Hospital",Community Health Center,0,-,2023-07-11,2025-04-26,-,Good
HF-002141,"Leon, Cox And Rios Polyclinic",Polyclinic,8,-,2020-05-22,2025-08-28,"-59.14672, 12.89077",-
HF-002142,Thompson,Community Health Center,150,-,2019-02-17,2023-05-06,"-58.78327, 12.85623",-
HF-002143,"Sanders, Hull And Nguyen",Community Health Center,3,St. George,2016-05-15,2022-04-12,-,-
HF-002144,"Stewart, Atkins And Robinson Hospital",Community Health Center,10,-,2023-03-28,2024-04-08,"-58.99422, 12.81727",Follow-up 2023
HF-002145,Liu-Orr Infirmary,-,1,St. Joseph,2020-08-30,2025-12-26,"125135.0, 585417.0",Follow-up 2023
HF-002146,Williams,Polyclinic,171,St. James,2021-09-12,2022-06-17,"125528.0, 59330.0",Good
HF-002147,"White, Murray And Hernandez Clinic",Polyclinic,0,-,2019-05-23,2024-07-09,"-59.14619, 12.80161",-
HF-002148,Robinson-Mack,Community Health Center,308,St. Michael,2021-12-15,2023-07-26,"-59.23767, 12.77149",-
HF-002149,"Mayo,-Jackson-And-Jones Infirmary",Hospital,0,St. Lucy,2018-07-03,2024-11-04,"13.28869, -59.07722",-
HF-002150,Barron-Rios,Community Health Center,0,-,2016-03-21,2024-09-11,-,Reinspection due
HF-002151,Warner And Sons,Community Health Center,23,-,2017-10-07,2018-03-14,-,-
HF-002152,Spencer-Walker Hospital,Polyclinic,0,-,2021-04-25,2021-06-12,-,-
HF-002153,Harvey-Gonzales Infirmary,Hospital,0,-,2018-06-26,2019-01-01,"131758.0, 59513.0",Reinspection due
HF-002154,Silva-Stone Polyclinic,Hospital,0,-,2019-10-28,2023-10-11,"-59.26957, 13.25745",-
HF-002155,"Lopez, Wolf And Graham Polyclinic",Community Health Center,0,-,2020-11-11,2025-09-20,"-58.97791, 12.95149",-
HF-002156,Wagner-Allen Clinic,Community Health Center,329,-,2025-06-29,2025-12-09,"12.97646, -58.70609",Good
HF-002157,Diaz-Kelly Clinic,Community Health Center,0,-,2019-01-26,2021-03-24,-,Reinspection due
HF-002158,Floyd-Llc Clinic,Community Health Center,33,St. Joseph,2017-04-29,2022-03-05,"12.96689, -59.26571",Good
HF-002159,Johnson Inc,Community Health Center,267,-,2021-01-09,2021-10-08,"12.86213, -58.9503",-
HF-002160,Greene-Thomas,Community Health Center,424,-,2021-11-13,2024-08-04,"-59.03518, 12.70342",Reinspection due
HF-002161,Lewis Ltd Health Centre,Community Health Center,364,St. Lucy,2020-01-23,2024-03-11,"13.11079, -59.08991",Needs upgrade
HF-002162,Butler-Brown,Polyclinic,368,-,2018-02-02,2022-10-03,"124412.0, 58489.0",Needs upgrade
HF-002163,Davis-Peters Health Centre,Polyclinic,458,St. Andrew,2019-10-14,2023-07-13,"124839.0, 591124.0",-
HF-002164,Waters And Sons Clinic,Polyclinic,269,-,2018-12-29,2024-08-15,"-58.71906, 13.16435",Follow-up 2023
HF-002165,"Burke, Nelson And May",-,0,-,2018-01-05,2024-11-21,"-58.94914, 12.97887",-
HF-002166,Long-Allen,Hospital,241,-,2022-09-11,2024-08-21,-,-
HF-002167,Little,Community Health Center,0,-,2022-09-15,2025-07-22,"13.26997, -59.19043",Reinspection due
HF-002168,Brown-Johnson Infirmary,Hospital,383,-,2018-01-25,2021-09-06,"125910.0, 591527.0",Needs upgrade
HF-002169,Rodriguez-Berry Hospital,Hospital,0,-,2019-04-23,2023-07-23,-,Reinspection due
HF-002170,Hardin-Dean Hospital,-,144,-,2017-08-06,2022-09-16,"-58.92748, 13.26259",Needs upgrade
HF-002171,Chase Inc Hospital,Hospital,153,-,2020-11-02,2025-01-09,"125958.0, 5935.0",-
HF-002172,King,-,139,-,2019-11-24,2025-05-24,"12.74809, -59.12864",-
HF-002173,"Roth,-Mueller-And-Boyd",Community Health Center,157,-,2018-06-26,2023-02-20,"-59.28322, 13.21365",-
HF-002174,Avery-Macias,Community Health Center,65,-,2016-12-21,2018-08-31,"-59.22658, 12.83906",Good
HF-002175,Hahn Ltd Medical Center,Community Health Center,359,-,2021-06-20,2024-08-14,"-59.2107, 12.98721",-
HF-002176,Lin-Hendrix Polyclinic,Community Health Center,466,-,2017-09-14,2019-01-05,"13637.0, 585950.0",Needs upgrade
HF-002177,"Juarez, Hicks And Campbell Clinic",Community Health Center,0,-,,2024-05-06,"12.84436, -59.13178",-
HF-002178,Clarke-Ellis,Hospital,36,St. George,2016-03-06,2018-02-17,"-58.88103, 12.86536",-
HF-002179,Lawson-Conley,Hospital,283,-,2022-01-02,2023-12-14,"-58.84062, 13.24984",Needs upgrade
HF-002180,Gray-Curry Health Centre,Hospital,10,-,2019-02-25,2021-09-24,-,-
HF-002181,Castillo-Morse Hospital,Hospital,0,-,2019-12-09,2023-03-31,-,Follow-up 2023
HF-002182,Olsen Ltd Hospital,Polyclinic,444,-,2018-12-06,2021-03-25,-,-
HF-002183,"Mays,-Gibson-And-Delacruz",Polyclinic,491,-,2020-07-31,2023-07-03,"125116.0, 591448.0",Follow-up 2023
HF-002184,"Davis, Stuart And Hamilton Hospital",-,0,-,2018-10-23,2021-12-08,"13.26921, -59.19914",-
HF-002185,Ochoa Ltd Medical Center,Community Health Center,10,-,2023-12-11,2023-12-31,-,Reinspection due
HF-002186,"Wiggins, Smith And Henderson Clin",Hospital,0,-,2020-03-19,2020-07-15,-,-
HF-002187,"Wiggins, Smith And Henderson Clinic",Hospital,0,-,2020-03-19,2020-07-15,-,-
HF-002188,"Hodges, Sandoval And Rice",Community Health Center,236,St. John,2022-06-26,2025-08-08,"13.04813, -58.85444",-
HF-002189,Haynes Group Clinic,-,10,-,2019-12-06,2021-03-26,"-58.74415, 13.23763",-
HF-002190,Scott-Guerra Polyclinic,Polyclinic,0,-,2022-06-12,2024-10-22,"13.14123, -58.85332",-
HF-002191,Zhang-Llc Polyclinic,Community Health Center,170,-,2018-05-07,2023-10-05,-,Good
HF-002192,Clark-Mccarthy Polyclinic,Polyclinic,220,-,2018-01-21,2023-09-25,"-59.05478, 13.10972",Needs upgrade
HF-002193,Conrad-Osborne Health Centre,Community Health Center,0,-,2022-07-16,2023-10-15,"12.80925, -59.03731",Good
HF-002194,Johnson And Sons Medical Center,Community Health Center,190,-,2022-10-21,2024-10-24,-,Reinspection due
HF-002195,Torres Hospital,Polyclinic,10,-,2018-11-04,2018-12-11,-,-
HF-002196,Ramirez Ltd Infirmary,Community Health Center,0,-,2019-04-10,2024-08-06,"-58.77381, 12.92034",-
HF-002197,"Ryan, Sanders And Burns Polyclinic",Polyclinic,91,-,2017-04-09,2024-07-13,"125613.0, 5941.0",Reinspection due
HF-002198,"Nguyen, Allen And Jackson",-,430,-,2025-01-30,2025-06-08,-,Good
HF-002199,"Ball,-Brown-And-Crawford Hospital",Community Health Center,262,-,2016-08-10,2025-01-12,"-59.13342, 13.27707",-
HF-002200,Petersen-And-Sons,Community Health Center,67,-,2019-12-16,2020-09-24,"-59.22713, 12.85138",-
HF-002201,Duffy Group Health Centre,-,413,-,2020-11-11,2022-12-15,"-59.16344, 13.01937",Follow-up 2023
HF-002202,"Huang, Davenport And Farmer",Polyclinic,492,-,2019-10-25,2022-04-17,-,-
HF-002203,Jones Group Health Centre,-,10,-,2019-01-18,2023-01-30,"-59.23892, 13.18844",-
HF-002204,Wilson Inc Polyclinic,Polyclinic,10,-,2018-01-02,2020-11-28,"-58.71629, 12.77431",Follow-up 2023
HF-002205,Mcguire-Moore Hospital,Polyclinic,151,St. Michael,2016-05-21,2019-08-11,"12.90165, -59.14032",Reinspection due
HF-002206,"Evans, Wheeler And Hernandez Medical Center",Community Health Center,10,-,2024-01-11,2024-05-06,"125157.0, 59114.0",Good
HF-002207,Martinez Llc Medical Center,Polyclinic,0,-,2018-06-28,2022-01-01,"-59.05962, 12.87349",-
HF-002208,"Lowe, Mendoza And Aguilar",Polyclinic,165,-,2016-10-22,2019-02-14,"-59.0113, 13.26987",Good
HF-002209,Davis And Sons Infirmary,Community Health Center,242,-,2023-06-01,2025-11-08,"12.98965, -59.16565",-
HF-002210,Carroll-Morgan,Community Health Center,360,-,2017-01-11,2019-01-23,"13.07339, -58.74879",-
HF-002211,Gordon-Mathis,Polyclinic,256,-,2022-09-27,2023-06-15,"12.73106, -59.02439",Good
HF-002212,"Nicholson, Jones And Bailey Polyclinic",Community Health Center,489,St. Michael,2019-02-18,2021-05-08,-,-
HF-002213,"Norman, Yu And Morris Hospital",-,109,St. John,2023-02-05,2023-02-16,"-59.01939, 12.97394",-
HF-002214,Mooney-Smith Clinic,-,341,-,2021-04-21,2022-10-18,"13.08207, -59.22924",Good
HF-002215,Mooney-Smith Clin,-,341,-,2021-04-21,2022-10-18,"13.08207, -59.22924",Good
HF-002216,Kirby Llc Medical Center,Polyclinic,0,-,2022-06-15,2023-02-08,"1346.0, 59912.0",-
HF-002217,York Inc Hospital,-,0,-,2020-11-17,2024-11-08,"124529.0, 585415.0",Reinspection due
HF-002218,"Carr, Gonzales And Johnson",Polyclinic,253,-,2018-11-12,2024-11-02,-,-
HF-002219,Lee-Molina Health Centre,Community Health Center,67,-,2017-02-26,2025-07-04,"-59.2559, 12.88266",-
HF-002220,Williams-Barnes Infirmary,Community Health Center,129,-,2018-04-25,2019-01-14,-,Good
HF-002221,Moore-Morris Hospital,Community Health Center,263,St. Joseph,2016-01-23,2020-12-03,"-58.76292, 13.29009",Follow-up 2023
HF-002222,Williams Polyclinic,Community Health Center,10,St. Joseph,2019-02-21,2019-12-06,"13631.0, 584426.0",Follow-up 2023
HF-002223,Jordan Llc,Hospital,35,-,2019-10-26,2023-09-26,"-58.72745, 13.21195",Follow-up 2023
HF-002224,Mathews-Ltd,Community Health Center,281,St. John,2017-03-07,2025-01-06,-,Good
HF-002225,Castro-Group Hospital,Hospital,355,St. Lucy,2018-02-08,2020-09-02,-,-
HF-002226,Le-Snow Hospital,Polyclinic,0,St. Andrew,2020-09-10,2023-01-27,-,Needs upgrade
HF-002227,"Cline, Maldonado And Nunez Clinic",Polyclinic,353,St. George,2019-07-09,2022-08-29,"-59.27275, 13.22901",-
HF-002228,"Reed,-Ford-And-Carter",Hospital,65,-,2018-05-13,2020-12-29,"13.23415, -58.92809",Good
HF-002229,Landry-Sanchez Medical Center,Polyclinic,0,St. Michael,2018-10-22,2020-03-26,"12.79205, -58.79407",-
HF-002230,"Romero, Johnson And Lewis Polyclinic",Community Health Center,0,St. George,2020-05-08,2022-05-22,"125942.0, 585713.0",Needs upgrade
HF-002231,Aguilar-Sanchez Infirmary,Hospital,216,-,2018-12-31,2020-04-15,"-59.02529, 13.10554",-
HF-002232,Boone And Sons Clinic,Polyclinic,352,-,2025-02-24,,"-58.94763, 12.80646",-
HF-002233,Brown Inc Infirmary,Polyclinic,276,-,2019-01-21,2019-04-06,"-58.83153, 13.15548",Reinspection due
HF-002234,Leblanc-Washington,Polyclinic,259,-,2019-06-18,2024-10-07,"-58.83686, 12.95205",Needs upgrade
HF-002235,Newman,-,0,-,2017-12-05,2024-11-06,-,Reinspection due
HF-002236,Brown-Llc Health Centre,Community Health Center,0,-,2022-12-17,2025-10-23,"-58.84253, 13.18335",-
HF-002237,Wong-Edwards Clinic,Polyclinic,0,-,2025-02-16,,"13.23824, -59.2544",Reinspection due
HF-002238,Johnson-Llc Health Centre,Community Health Center,163,-,2021-02-26,2024-10-08,-,-
HF-002239,Hansen-Schmidt,Community Health Center,10,-,2019-08-21,2021-10-13,"-59.27563, 12.88926",-
HF-002240,"Pearson, Carlson And Martin Polyclinic",Community Health Center,187,-,2020-11-25,2024-10-06,-,Follow-up 2023
HF-002241,"Thompson,-Graham-And-Armstrong",Hospital,0,-,2023-12-22,2025-12-08,"-59.0983, 13.17103",Needs upgrade
HF-002242,Drake And Sons,-,0,-,2021-12-24,2025-04-22,"-59.12692, 13.09812",Follow-up 2023
HF-002243,"Delgado,-Trevino-And-Smith Hospital",Hospital,0,-,2021-09-22,2025-09-05,-,-
HF-002244,"Meyer, Taylor And Diaz Medical Center",Polyclinic,0,-,2017-04-06,2022-10-27,-,-
HF-002245,Molina- Clinic,Community Health Center,456,-,2018-09-21,2021-02-07,"-58.81976, 12.95248",Good
HF-002246,"Nelson, King And Harris Infirmary",Polyclinic,254,-,2021-08-26,2022-05-13,"-58.88989, 13.0585",Follow-up 2023
HF-002247,Gilbert,Polyclinic,0,-,2019-12-13,2024-12-02,"12.98223, -58.92821",Good
HF-002248,"Owens, Pena And Hayes Hospital",Polyclinic,0,St. John,2020-11-16,2023-05-13,-,-
HF-002249,Curtis Hospital,Community Health Center,300,-,2018-03-19,2020-12-21,"131734.0, 59936.0",-
HF-002250,Potter Llc Infirmary,Polyclinic,129,-,2016-04-10,2022-05-20,-,Follow-up 2023
HF-002251,"Lewis,-Ho-And-Collins",Polyclinic,0,-,2022-02-19,2025-12-05,"13.1418, -58.71386",Good
HF-002252,Robinson-Chen Medical Center,Hospital,0,-,2017-12-14,2025-11-01,-,-
HF-002253,Williams-Inc Hospital,Hospital,161,-,,2022-01-07,-,Reinspection due
HF-002254,Rose Hospital,-,339,St. Peter,2024-07-11,2025-04-08,"-58.80579, 12.82227",Good
HF-002255,"Benson,-Lara-And-Stephens Hospital",Community Health Center,0,-,2018-08-19,2020-12-06,-,-
HF-002256,"Hernandez, Brown And Conrad Hospital",Hospital,10,-,2016-02-10,2018-03-06,"12585.0, 59164.0",-
HF-002257,"Duncan, Larsen And Lopez Polyclinic",Community Health Center,10,St. Andrew,2020-04-11,2022-09-05,"-58.75512, 12.82722",Reinspection due
HF-002258,"Burns,-Carter-And-Colon",-,333,-,2022-11-26,2025-04-24,-,Needs upgrade
HF-002259,Diaz And Sons Polyclinic,Hospital,446,-,2018-05-03,2022-02-24,"-58.71436, 13.1413",-
HF-002260,"Day, Brooks And Thompson Clinic",Community Health Center,0,St. George,2017-02-10,2025-07-19,-,Good
HF-002261,Ramos Group,Polyclinic,350,-,2017-10-03,2018-05-10,-,-
HF-002262,"Murphy, Estrada And Lopez Health Centre",Hospital,0,-,2017-03-07,2023-06-27,"-58.96753, 13.22075",-
HF-002263,Erickson-Hutchinson Infirmary,Community Health Center,0,-,2024-05-19,2025-12-08,"-58.90147, 13.1037",Follow-up 2023
HF-002264,"Gross, Ramirez And Hernandez",Community Health Center,99,-,2024-04-12,2024-04-15,"-59.06114, 13.18034",Good
HF-002265,Torres And Sons Health Centre,Hospital,322,-,2022-10-28,2024-12-06,"131544.0, 591546.0",-
HF-002266,Smith-Ayala,Community Health Center,0,St. John,2023-01-12,2024-02-08,"13253.0, 584531.0",-
HF-002267,"Sanchez,-Smith-And-Griffin",Community Health Center,0,-,2018-03-30,2021-03-24,"-58.92224, 12.70864",-
HF-002268,Curry-Shelton,Polyclinic,10,-,2022-08-20,2025-02-05,"-59.00338, 12.87977",Good
HF-002269,"Carlson, Young And Hill Hospital.",Hospital,397,St. James,2018-07-26,2020-01-04,"-58.81423, 12.98462",-
HF-002270,Stewart Inc,Polyclinic,106,-,2020-02-09,2021-11-17,-,Good
HF-002271,Bennett,Polyclinic,0,-,2019-04-08,2024-01-09,-,Reinspection due
HF-002272,"Hurst, Hughes And Taylor Polyclinic",Community Health Center,486,St. James,2018-10-28,2020-02-19,"-58.83612, 13.09476",Reinspection due
HF-002273,"Brown, Smith And Martinez Hospital",Polyclinic,10,-,2019-02-17,2020-07-28,"12.88703, -58.99916",Needs upgrade
HF-002274,"Jensen, Gonzalez And Sanchez Clinic",Community Health Center,10,-,2016-11-06,2025-08-11,"13.15214, -58.82375",-
HF-002275,"Miller, Smith And Davis Hospital",Polyclinic,124,-,,2021-05-06,"13.11899, -59.1757",-
HF-002276,Hatfield Ltd Hospital,Community Health Center,0,-,2021-06-17,2021-12-02,"-58.74944, 12.8773",-
HF-002277,"Spencer, Clayton And Brown Medical Center",Hospital,25,-,2018-06-04,2022-09-06,"-59.19512, 12.70193",-
HF-002278,Thompson-Hale Hospital,Community Health Center,0,-,2018-09-21,2024-02-14,-,-
HF-002279,"Chambers, Glass And Wilson Hospital",Community Health Center,0,St. Lucy,2020-05-17,2021-03-31,"125513.0, 5927.0",-
HF-002280,Jones-Smith,-,107,St. Joseph,2016-04-09,2020-02-22,"-58.86976, 12.9046",Good
HF-002281,"Mosley, Garcia And Brooks",Polyclinic,10,-,2018-10-21,2019-04-14,-,Follow-up 2023
HF-002282,"Wallace, Lynch And Collins",Community Health Center,0,-,2017-07-24,2025-04-03,"-58.74988, 12.9268",-
HF-002283,Bennett Inc Hospital,Community Health Center,32,-,2021-06-23,2023-05-21,-,Reinspection due
HF-002284,Ruiz Llc Polyclinic,Polyclinic,0,St. George,2023-03-19,2025-01-13,-,Good
HF-002285,Elliott Llc Hospital,Community Health Center,87,-,2018-06-25,2019-01-21,"124956.0, 585118.0",Needs upgrade
HF-002286,"Hamilton, Marquez And Castro Polyclinic",Polyclinic,217,-,2023-08-21,2025-10-04,"13920.0, 585759.0",-
HF-002287,Lewis Health Centre,Community Health Center,0,-,2020-03-21,2020-04-18,"12584.0, 59556.0",Good
HF-002288,Preston-Mcguire Health Centre,-,19,-,2020-04-07,2022-04-14,"-58.98428, 12.97753",-
HF-002289,"Miller, Booth And Gallagher Polyclinic",Hospital,205,-,2016-10-29,2022-11-04,"-58.86942, 13.02316",-
HF-002290,"Vargas, Porter And Hardin",Polyclinic,10,St. Michael,2017-04-14,2022-11-17,"-58.86196, 13.1391",-
HF-002291,Calhoun-Johnson,-,333,-,2024-07-11,2025-10-10,"-59.23754, 13.14871",Needs upgrade
HF-002292,"King,-Cox-And-Garcia Clinic",Polyclinic,148,-,2025-11-12,,"124212.0, 59520.0",Follow-up 2023
HF-002293,Lewis And Sons Clinic,Polyclinic,296,-,2020-08-10,2024-12-19,"13154.0, 59015.0",Good
HF-002294,"Bailey, Meyers And Garza Health Centre",Community Health Center,0,-,2016-02-26,2023-07-24,"12.99677, -59.06773",Good
HF-002295,Cole Ltd,Community Health Center,425,St. Michael,2017-01-31,2021-04-14,"12.88879, -58.73299",-
HF-002296,Jackson-Llc Hospital,-,0,St. Joseph,2019-07-09,2025-12-11,"13241.0, 591442.0",-
HF-002297,Cooper-Leach Hospital,-,482,St. James,2020-02-20,2024-01-11,-,Follow-up 2023
HF-002298,"Edwards, Jenkins And Oconnor Infirmary",Community Health Center,195,-,2022-09-17,2025-07-07,"-59.12287, 12.71531",-
HF-002299,King Llc Clinic,-,0,St. Joseph,2020-01-18,2020-03-03,"-59.26335, 12.94152",Good
HF-002300,Strickland Inc Medical Center,Polyclinic,0,-,2021-12-29,2024-11-24,"-58.83276, 13.03991",-
HF-002301,Brown-Brown,Community Health Center,10,-,2021-04-26,2025-01-31,-,Reinspection due
HF-002302,Olson Medical Center,Hospital,97,-,2025-07-20,2025-07-25,-,Follow-up 2023
HF-002303,Gonzalez-Williamson Health Centre,Polyclinic,0,St. Peter,2017-10-11,2025-05-24,-,-
HF-002304,Dickson Group Infirmary,Hospital,470,-,2023-08-09,2024-11-06,"13710.0, 585742.0",Needs upgrade
HF-002305,Gardner-Taylor Health Centre,Polyclinic,0,-,2017-07-15,2021-04-09,"125232.0, 585914.0",Follow-up 2023
HF-002306,Williams Inc,Polyclinic,0,St. Lucy,2016-04-16,2022-07-12,-,Reinspection due
HF-002307,Lewis-Hernandez,Community Health Center,476,-,2020-10-25,2024-09-04,"12.7602, -58.99328",Follow-up 2023
HF-002308,"Monroe, Roth And Gonzalez Medical Center",Community Health Center,10,-,2018-12-20,2019-02-28,"-58.78346, 13.05031",-
HF-002309,Parrish-Cortez Hospital,-,0,-,2020-01-18,2020-10-27,"-58.92787, 13.29548",Good
HF-002310,Wells-Robinson Hospital,Polyclinic,367,-,2020-01-01,2024-03-08,"-59.20109, 12.98089",Reinspection due
HF-002311,Smith Llc Infirmary,Community Health Center,338,-,2021-04-21,2021-09-27,"12.92943, -58.90767",-
HF-002312,"Horn, Hubbard And Hancock Polyclinic",-,369,-,2017-01-30,2025-08-03,-,-
HF-002313,Smith-Green Hospital,-,0,St. James,2021-09-29,2023-10-13,"13.22283, -59.1031",-
HF-002314,Anderson Llc Medical Center,Polyclinic,45,-,2019-02-01,2024-04-07,"-59.29873, 13.1662",-
HF-002315,Vazquez Ltd,Polyclinic,0,-,2019-04-28,2025-06-09,-,-
HF-002316,Velez-Wall Clinic,-,0,-,2021-10-12,2023-10-11,"13534.0, 591447.0",-
