Facility Id,Facility Name,Facility Type,Bed Capacity,Region,Licence Issue Date,Inspection Date,Gps Location,Remarks
HF-000793,Dillon-LLC Hospital,Polyclinic,0,,2025-03-28,2025-12-15,"-58.97837, 12.89621",
HF-000794,"Peterson, Holmes and Wright Health Centre",Community Health Center,14,,2017-01-04,2019-05-19,"-58.98414, 13.05192",
HF-000795,"Bowen, Maddox and Thompson Hospital",Hospital,437,,2018-11-10,2021-09-13,"-59.26268, 13.20568",Follow-up 2023
HF-000796,"Castillo, Carroll and Gonzalez Health Centre",Hospital,0,,2018-08-05,2023-11-05,"-58.92808, 12.99793",
HF-000797,Bailey-Lee,Community Health Center,0,,2019-02-19,2023-10-27,"-58.89566, 13.11804",
HF-000798,Mejia Group Infirmary,Community Health Center,465,,2021-05-23,2024-08-21,"-58.82998, 12.75436",
HF-000799,Tucker-Allison Hospital,Polyclinic,0,,2022-10-07,2025-02-07,,
HF-000800,Mills,,299,,2022-05-11,2022-10-03,"125343.0, 585930.0",Follow-up 2023
HF-000801,Rogers-Daugherty,Hospital,10,,2022-01-30,2022-04-18,,
HF-000802,Klein Group Medical Center,Hospital,132,,2021-04-01,2021-11-07,"12492.0, 59759.0",Follow-up 2023
HF-000803,Palmer-Villanueva,Community Health Center,364,,2018-09-02,2019-06-27,"-59.23374, 13.23375",
HF-000804,Taylor and Sons,Community Health Center,22,St. Andrew,2019-05-02,2024-10-24,"-58.76851, 12.98759",
HF-000805,"Underwood, Rosales and Young Hospital",,0,,2019-09-27,2024-06-10,"124536.0, 59338.0",
HF-000806,"Mason, Price and Reyes",Polyclinic,244,,2023-01-24,2023-02-11,,
HF-000807,"Scott, Wilkerson and Jensen Hospital",Community Health Center,142,,2023-07-19,2025-06-09,"13045.0, 584859.0",Needs upgrade
HF-000808,"Smith, Smith and Ortega",,467,,2022-06-25,2022-11-08,"-58.82807, 13.0987",Reinspection due
HF-000809,"Miller, Martinez and Campbell Health Centre",Polyclinic,467,St. Peter,2022-06-10,2023-04-27,,
HF-000810,Obrien-Porter Infirmary,,475,,2024-07-04,2025-11-21,,
HF-000812,Charles-Gomez Hospital,Community Health Center,0,,2016-10-19,2021-03-31,,
HF-000813,Jackson-Waters Hospital,,0,,2017-10-09,2021-03-19,,Follow-up 2023
HF-000814,"Cortez, Lopez and Freeman",Polyclinic,0,,2016-01-02,2023-04-08,"-58.82432, 12.77725",Good
HF-000815,"Sanchez, Velasquez and Moore",Community Health Center,117,,2022-02-17,2023-10-11,,
HF-000816,Lee Group Infirmary,Hospital,337,,2016-04-30,2024-10-25,,
HF-000818,"Schmitt, Ramirez and Howard Health Centre",Polyclinic,123,,2018-01-02,2024-09-04,,
HF-000819,Ruiz-Bailey Health Centre,,180,,2019-01-16,2022-07-14,,Reinspection due
HF-000820,Rose Group Health Centre,Polyclinic,400,,2023-08-27,,"12.86639, -59.28916",Needs upgrade
HF-000821,Brown-Gilbert Hospital,Polyclinic,431,,2019-05-03,2022-08-20,"13.1767, -58.93323",
HF-000822,Howell-Rollins,Community Health Center,76,,2020-01-21,2020-06-08,"-58.7879, 12.79947",
HF-000823,Smith-Hurst Health Centre,Polyclinic,319,,2022-03-27,2025-01-01,"-59.19673, 13.00704",Follow-up 2023
HF-000824,Jones-Bradshaw Hospital,Polyclinic,0,St. Joseph,2022-12-24,2024-04-19,,Good
HF-000825,"Morris, Mendoza and Dixon Medical Center",Community Health Center,104,,2022-02-11,2022-02-14,,Needs upgrade
HF-000826,Smith,Community Health Center,81,,2022-03-20,2024-12-17,,
HF-000827,Welch-Norman,,11,,2022-01-27,2025-08-21,,Reinspection due
HF-000828,"Taylor,-Jones-and-Davis",Hospital,10,,2016-03-11,2025-09-06,"-58.78232, 12.86668",
HF-000829,"Barrett, Ellis and Webb Medical Center",Polyclinic,205,,2020-01-16,2025-12-19,,
HF-000830,Rubio Inc Polyclinic,Polyclinic,412,,2016-01-19,2021-08-12,,
HF-000832,"Lewis,-Mcknight-and-Valencia Hospital",Community Health Center,113,,2024-01-03,2025-09-12,"13.09353, -58.70721",
HF-000833,Lee-Smith,,0,,2018-06-23,2022-12-12,"-59.07544, 13.13954",
HF-000834,"Ramirez, Marquez and Simpson",Community Health Center,10,,2019-07-06,2024-09-14,"-59.05732, 13.17178",
HF-000835,"Sparks, Carter and Joseph Hospital",Hospital,10,St. Michael,2019-07-24,2022-05-14,"13.25117, -58.92252",
HF-000836,Johnson-Mitchell Hospital,Polyclinic,341,St. Lucy,2018-08-15,2022-01-08,"-58.77541, 12.8331",
HF-000837,"Huffman, Miller and Hoffman",Polyclinic,69,,2019-03-06,2020-10-03,"-59.20027, 13.21184",
HF-000838,"Foster, Schmitt and Lynch",,68,,2018-03-18,2022-04-04,"12.83895, -59.1946",
HF-000839,Owens-English,,10,,2021-01-16,2021-04-30,,
HF-000840,Bennett-Tucker,Polyclinic,131,,2018-08-16,2018-10-18,,
HF-000841,Flores-LLC Hospital,,0,,2018-08-23,2022-01-12,"124930.0, 584253.0",
HF-000842,"Washington, Barker and Medina",Community Health Center,59,,2018-04-02,2018-10-30,,
HF-000843,Buchanan- Medical Center,Community Health Center,0,St. John,2019-04-13,2020-12-30,,
HF-000844,Montgomery and Sons Clinic,Community Health Center,169,,2016-05-23,2024-01-31,"-58.73143, 12.84704",Reinspection due
HF-000845,Mcdonald-Mcdaniel Clinic,Polyclinic,0,St. James,2017-10-08,2025-06-14,"13.13257, -58.75027",
HF-000846,Peters-Lynch Health Centre,Hospital,3,,2018-06-21,2022-01-03,"-58.79216, 12.73851",Follow-up 2023
HF-000847,"Rivers, Fisher and Nicholson",Community Health Center,246,,2023-08-07,2025-11-08,"-59.28154, 13.16227",Follow-up 2023
HF-000848,Carter and Sons Polyclinic,Hospital,383,,2020-05-20,2024-07-08,"-59.13377, 12.78599",
HF-000849,Taylor Hospital,Community Health Center,116,,2019-09-18,2021-12-26,"-59.03168, 13.199",
HF-000850,Barton-Romero Clinic,Hospital,0,,2021-05-11,2022-01-24,,
HF-000851,Kramer-Gordon Hospital,Hospital,0,,2019-10-15,2023-03-08,"-58.92991, 13.13461",
HF-000852,"Warren, Trujillo and Carter",Polyclinic,24,,2021-12-20,2024-04-21,"-58.83003, 12.77421",Good
HF-000853,"Garcia, Esparza and Bartlett",,0,,2017-04-16,2024-06-16,"131315.0, 591152.0",
HF-000854,"Ellis, Wilkinson and Perkins Clinic",Polyclinic,397,,2023-11-23,2025-08-31,"-59.1372, 12.90311",
HF-000855,Harmon-LLC,Hospital,10,,2024-07-26,2024-10-25,,Reinspection due
HF-000856,Blevins-Black Infirmary,,88,,2019-08-12,2025-07-26,"124916.0, 591641.0",
HF-000857,Parker-Garcia Infirmary,Hospital,58,,2016-12-09,2020-10-05,"12.72549, -59.13475",Needs upgrade
HF-000858,Deleon-Stevens Hospital,,0,,2016-12-14,2025-01-14,,Needs upgrade
HF-000859,"Hartman, Elliott and Marsh Health Centre",Polyclinic,10,,2019-04-30,2025-03-16,,
HF-000860,"Lopez, Harris and Stone Hospital",Hospital,10,,2018-09-17,2019-01-22,"-59.15696, 12.95793",Good
HF-000861,"Smith, Butler and Reyes Infirmary",Polyclinic,87,,2023-01-01,2025-02-04,"12.84168, -59.23742",
HF-000862,Webb-Perez Hospital,Hospital,0,St. Lucy,2022-07-23,2025-04-10,"-59.12924, 12.94316",
HF-000863,Mason-Harmon,,0,St. Lucy,2017-06-26,2018-08-21,,
HF-000864,Mitchell,Polyclinic,482,,2020-01-03,2021-10-02,"131027.0, 59641.0",
HF-000865,"Hall, Davis and Massey Hospital",,0,,2019-04-22,2022-07-04,"-58.9497, 13.00808",
HF-000866,Nash-Black Health Centre,Community Health Center,22,,2020-05-14,2023-04-28,"124513.0, 585253.0",Good
HF-000867,Lopez and Sons Medical Center,Community Health Center,336,,2020-01-20,2025-08-29,"-59.0651, 13.05964",
HF-000868,Ryan Inc Infirmary,,0,St. John,2019-10-18,2025-12-17,"125735.0, 585228.0",Needs upgrade
HF-000869,"Christensen, Oconnor and Moses Medical Center",Hospital,309,,2018-09-03,2019-04-06,"-59.09928, 12.72524",Follow-up 2023
HF-000870,Keller-Trujillo,Community Health Center,0,,2017-04-27,2019-08-23,,Good
HF-000871,Hall-Newton Polyclinic,,23,,2016-02-19,2020-12-28,"131724.0, 585818.0",Reinspection due
HF-000872,"Clark, Hayes and Washington",Polyclinic,0,St. James,2020-07-14,2023-01-02,,Good
HF-000873,Griffith-Robinson Infirmary,Community Health Center,10,,2024-02-26,2024-12-16,"12.87981, -58.93689",Follow-up 2023
HF-000874,"Barnett,-Brewer-and-Jones Health Centre",Polyclinic,191,,2017-11-12,2024-07-29,,Follow-up 2023
HF-000875,Pacheco-Brown Hospital,Polyclinic,35,,2020-10-16,2023-05-30,"-59.03162, 13.21283",Follow-up 2023
HF-000876,Fisher Ltd Hospital,Community Health Center,0,,2022-12-14,2025-11-11,,
HF-000877,Smith-Dodson,Polyclinic,145,,2020-09-25,2021-12-12,"-59.0136, 13.11257",
HF-000878,Gutierrez-Lawson Polyclinic,Hospital,210,,2022-04-07,2022-08-30,"-58.94292, 12.99588",
HF-000879,Peters-Jackson,Polyclinic,0,St. George,2020-06-04,2024-04-20,,Reinspection due
HF-000880,"Wilson, Valdez and Landry",Community Health Center,0,,2018-10-06,2025-07-12,"124641.0, 585848.0",Follow-up 2023
HF-000881,"Thompson,-Douglas-and-Perry Hospital",Polyclinic,486,,2018-07-01,2018-08-15,,
HF-000882,Rodriguez-Joseph,Community Health Center,256,,2018-03-14,2019-09-08,"-58.93749, 12.9596",
HF-000883,Howard Ltd,Polyclinic,497,,2021-12-25,2025-03-01,"-59.22363, 12.95694",
HF-000884,"Mendoza, Camacho and Burke Health Centre",Hospital,412,,2020-05-18,2021-11-19,"-59.249, 13.08048",Good
HF-000885,"Clark, Rodriguez and Cooper",Community Health Center,26,,2018-02-24,2023-04-16,,
HF-000887,"Wolf, Villegas and Lynn",Polyclinic,33,,2017-12-04,2020-10-27,"13553.0, 585927.0",
HF-000888,Davis-Mcbride Hospital,Hospital,151,,2019-07-15,2022-01-08,,
HF-000889,"Kirk,-Anderson-and-Cobb Medical Center",Polyclinic,10,,2022-02-13,2022-04-16,"13511.0, 584449.0",
HF-000890,Davis-Mitchell Hospital,Community Health Center,144,,2019-11-08,2025-07-29,,
HF-000891,"Smith, Phillips and Clark",Polyclinic,0,,2018-10-03,2019-11-06,,
HF-000892,Nunez-Benson,Community Health Center,122,St. Michael,2019-05-20,2024-05-31,"124246.0, 591412.0",
HF-000893,Becker-Parker Medical Center,Community Health Center,227,,2023-07-21,2025-08-15,"13.19152, -58.77003",
HF-000894,"Melendez, Maxwell and Larson Hospital",Community Health Center,61,St. James,2017-05-01,2018-03-05,"125051.0, 59825.0",
HF-000895,"Nguyen,-Martinez-and-Peters Medical Center",,314,St. John,2019-03-09,2023-02-28,"124630.0, 59524.0",Reinspection due
HF-000896,Villanueva-Pacheco Hospital,Polyclinic,330,Christ Church,2018-07-04,2020-03-16,"-59.28232, 13.13127",
HF-000897,"Olson,-Garcia-and-Gonzalez Health Centre",Community Health Center,0,,2019-03-14,2022-10-10,,Needs upgrade
HF-000898,"Good,-Martin-and-Wade",Hospital,10,St. Lucy,2019-04-06,2022-01-31,"-58.98195, 12.8019",
HF-000899,Ryan-Smith,,83,,2019-07-24,2019-09-21,"-59.20905, 13.1024",Follow-up 2023
HF-000900,Perez-Alvarez Clinic,,220,,2021-11-16,2024-07-11,,Good
HF-000901,Todd-Goodwin Hospital,Polyclinic,413,,2020-09-14,2021-06-26,,
HF-000902,Brown-Ramirez,,474,,2018-05-12,2020-10-05,"-58.82744, 12.81384",Needs upgrade
HF-000903,Anderson-Walker Clinic,,0,,2021-02-22,2021-07-01,"-58.92459, 13.02301",
HF-000904,Anderson-Walker Clin,,0,,2021-02-22,2021-07-01,"-58.92459, 13.02301",
HF-000905,"Green, Allison and Williams Hospital",Polyclinic,0,,2017-12-05,2023-02-01,,Good
HF-000906,Foster-Knox Polyclinic,Polyclinic,189,,2018-02-11,2019-03-05,"125759.0, 585532.0",Needs upgrade
HF-000907,"Lozano,-Gutierrez-and-Mendez Hospital",Polyclinic,0,,2020-02-14,2023-05-21,,Follow-up 2023
HF-000908,"Potts,-Tyler-and-Brooks Health Centre",Polyclinic,315,,2019-06-27,2019-10-12,"12580.0, 591320.0",Good
HF-000909,Taylor-Summers,Polyclinic,46,,2017-06-23,2023-05-25,"-58.77833, 13.19549",
HF-000910,Hawkins-Carter,Polyclinic,94,,2020-09-05,2021-01-21,"125130.0, 59832.0",Follow-up 2023
HF-000911,Day-Payne,Community Health Center,497,,2023-01-06,2024-06-22,,Good
HF-000912,"Proctor, Powell and Raymond Hospital",Community Health Center,306,,2023-07-09,2025-08-02,,Follow-up 2023
HF-000913,"Adams, Craig and Delgado Hospital",Polyclinic,0,,2024-03-20,2025-05-18,"124456.0, 584229.0",
HF-000914,Adams Hospital,Community Health Center,10,,,2023-12-10,"13.17585, -58.95587",
HF-000916,"Ferguson, Brooks and Hayes",Community Health Center,10,,2019-04-16,2019-06-01,"-59.11574, 12.79889",Good
HF-000917,Bowers Group Hospital,Polyclinic,144,,2022-06-10,2025-02-18,"-58.77733, 13.0621",
HF-000918,"Serrano,-Bullock-and-Trujillo Polyclinic",Community Health Center,0,,2024-07-11,2025-12-29,,
HF-000919,Sanford-Morris,Community Health Center,0,St. Joseph,2021-02-03,2025-04-09,,
HF-000920,"Lester, Reese and Simon Clinic",Community Health Center,254,,2018-06-15,2020-02-06,"-58.82712, 13.11229",
HF-000921,Johnson Group,,10,,2018-06-20,2024-10-18,"12.71253, -58.70833",Needs upgrade
HF-000922,Smith Inc,Hospital,399,,2019-09-30,2020-12-18,"-59.03293, 13.00697",Reinspection due
HF-000923,Lewis-Nelson,Community Health Center,22,,2019-03-25,2024-09-15,"131645.0, 585214.0",
HF-000924,Ross-Fitzpatrick,Community Health Center,0,,2019-06-03,2021-10-01,"125955.0, 591232.0",
HF-000925,Moss-Cobb Polyclinic,Community Health Center,406,,2019-05-07,2023-08-29,"13.01586, -59.22679",
HF-000926,"Johnson,-James-and-Strickland Medical Center",Polyclinic,220,,2018-06-07,2022-11-28,"124951.0, 585315.0",Follow-up 2023
HF-000927,"Taylor, Cabrera and Swanson Clinic",Community Health Center,217,,2020-02-16,2021-05-19,,Good
HF-000928,"Salazar, Jackson and Garcia Hospital",Polyclinic,75,,2020-07-03,2022-05-12,"124446.0, 59639.0",Needs upgrade
HF-000929,Morrison-Lopez,Community Health Center,161,,2017-03-30,2023-03-12,,Reinspection due
HF-000930,Vincent-Gardner Clinic,Polyclinic,106,,2021-10-07,2025-11-07,"12544.0, 58513.0",
HF-000931,Vincent-Gardner Clin,Polyclinic,106,,2021-10-07,2025-11-07,"12544.0, 58513.0",
HF-000932,"Cruz, Wright and Freeman Hospital",Polyclinic,373,,2016-06-02,2022-10-10,,Good
HF-000933,Cruz Ltd Health Centre,Community Health Center,10,,2021-06-13,2024-12-27,"-58.70674, 13.06407",Follow-up 2023
HF-000934,"Mitchell, Sawyer and Cardenas Health Centre",Community Health Center,224,,2020-10-03,2024-01-05,,Good
HF-000935,Bass Ltd Polyclinic,,0,,2016-01-31,2022-10-10,"-59.10512, 12.87892",Good
HF-000936,"Thompson, Moore and Fry Polyclinic",Community Health Center,0,,2021-12-30,2023-03-18,,Good
HF-000937,Byrd Group Health Centre,Hospital,10,St. Michael,2016-03-15,,"-58.92745, 13.29569",Good
HF-000938,Turner Inc,Community Health Center,5,,2021-11-15,2024-01-30,"12.77864, -58.94606",
HF-000939,Herrera-Howell Health Centre,Polyclinic,0,,2017-01-19,2025-06-25,"12.71479, -59.22128",Needs upgrade
HF-000940,Brown and Sons Medical Center,Polyclinic,184,,2020-01-21,2023-02-16,,
HF-000942,Rosales Medical Center,Polyclinic,223,,2019-09-29,2023-07-16,"-58.76705, 12.82627",
HF-000943,"Simon,-Wallace-and-Perry Hospital",,48,,2019-05-21,2025-01-06,"-58.74201, 13.0105",Follow-up 2023
HF-000944,"Koch,-Wright-and-Porter",Polyclinic,0,St. Peter,2023-01-05,2024-05-22,"13.00785, -59.14966",
HF-000945,"Brown, Clark and Perez Infirmary",Polyclinic,412,,2024-07-18,2025-09-16,,Needs upgrade
HF-000946,Smith-Davenport Hospital.,Community Health Center,10,,2024-06-21,2024-11-10,"124647.0, 59959.0",Reinspection due
HF-000947,James-Hughes Polyclinic,Polyclinic,57,,2019-06-06,2023-02-02,,
HF-000948,Martin-Gardner Health Centre,Polyclinic,183,Christ Church,2017-09-18,2018-05-09,"-58.81187, 12.80464",
HF-000949,Freeman-Inc Hospital,Polyclinic,0,,2018-07-19,2019-03-01,"-58.74632, 12.98868",
HF-000951,Garcia Inc Polyclinic,Community Health Center,134,,2017-10-07,2022-08-11,"-59.03509, 13.10331",
HF-000952,Williams Group,Polyclinic,0,St. Joseph,2017-06-11,2018-04-26,"-59.28895, 13.18454",
HF-000953,"Golden, Gomez and Moore",Polyclinic,346,,2020-01-26,2022-04-30,"13.10384, -58.99097",
HF-000954,Zimmerman Medical Center,Community Health Center,264,,2018-11-21,2020-12-29,,
HF-000955,Chen-Kelly,Community Health Center,186,,2021-08-20,2024-02-16,"124719.0, 59614.0",
HF-000956,"Cooper, Wilson and Castillo Hospital",Community Health Center,364,,2016-07-22,2019-01-30,"12.73391, -59.23583",
HF-000957,Hughes and Sons Clinic,Polyclinic,436,St. James,2018-09-22,2019-05-07,,
HF-000958,"Knight, Wright and Smith",,18,,2016-09-22,2019-02-26,,Follow-up 2023
HF-000959,"Freeman,-Luna-and-Garcia Hospital",Community Health Center,6,,2019-12-20,2024-03-12,"-59.28856, 13.03115",
HF-000960,Leonard-Hernandez,Community Health Center,0,,2018-09-11,2025-05-18,"-59.03026, 13.08743",
HF-000961,"Carter, Leonard and Roy",,314,St. Michael,2022-08-31,2024-06-19,"13.02606, -59.10901",Good
HF-000962,Hoffman-Alvarado Polyclinic,Community Health Center,29,,2019-05-12,2019-08-24,"12.89058, -59.0434",
HF-000963,"White, Smith and Brown Health Centre",Community Health Center,268,,2022-07-13,2025-02-13,,Follow-up 2023
HF-000964,Hoffman LLC,Polyclinic,1,,2018-09-25,2023-10-15,"-59.08449, 13.27417",
HF-000965,Clark-Peterson Infirmary,Polyclinic,187,,2016-02-29,2022-08-05,,
HF-000966,"Ho, Phillips and Vincent Polyclinic",Polyclinic,407,,2020-07-04,2024-08-21,"13.03068, -58.82189",
HF-000968,Nash-Mclaughlin Hospital,Polyclinic,0,,2024-12-08,2025-05-09,,Good
HF-000969,Hill-Wagner Infirmary,Hospital,488,St. Andrew,2016-03-06,2018-12-27,"-59.28114, 12.78569",
HF-000970,Jones-Griffith,,19,,2018-12-22,2019-03-07,,
HF-000971,Morgan-Alvarado Health Centre,Polyclinic,433,Christ Church,2020-11-06,2023-09-30,"131114.0, 58453.0",
HF-000972,Walker-Mitchell Medical Center,,3,,2020-02-02,2022-01-07,"-59.29474, 13.25074",Reinspection due
HF-000974,Patel-Smith Health Centre,Polyclinic,45,,2020-05-26,2025-11-25,,
HF-000975,Nguyen-Peterson Medical Center,Community Health Center,377,,2021-09-20,2024-08-24,"125439.0, 591652.0",Good
HF-000976,Gibbs-Lopez Hospital,Hospital,375,,2018-04-07,2024-07-11,"-59.22365, 13.03337",
HF-000977,"Houston, Phillips and Miller Polyclinic",Community Health Center,0,St. Peter,2018-12-04,2024-10-08,,Follow-up 2023
HF-000978,"Boyle, Griffin and Gonzales",,10,,2019-05-08,2019-12-23,,Needs upgrade
HF-000979,"Young,-Foley-and-Andersen Health Centre",Community Health Center,10,,2022-07-25,2024-05-02,"12.83588, -58.76903",Good
HF-000981,Stone Group Health Centre,Polyclinic,403,,2020-04-07,2022-09-10,"12.92932, -59.02226",
HF-000982,Moreno-Group Polyclinic,Community Health Center,332,,2017-09-15,2023-09-29,"-59.21186, 12.71272",
HF-000983,Jimenez-Snyder Clinic,Community Health Center,309,,2020-06-19,2025-02-01,,
HF-000984,Santana-Chavez,,10,St. Andrew,2022-01-11,2023-08-09,,
HF-000985,Smith-Hampton Polyclinic,,130,,2023-08-28,2024-01-03,"13.06892, -59.09123",Good
HF-000986,Barber-LLC Health Centre,Polyclinic,0,,2020-05-30,2021-07-22,,Good
HF-000987,Coleman Health Centre,Polyclinic,388,,2020-03-03,2021-01-05,"-58.75846, 13.06382",
HF-000988,Chung Group,Community Health Center,196,,2025-05-08,2025-10-01,,
HF-000989,Keller Inc,Community Health Center,0,,2020-10-19,2022-05-10,"-58.9478, 12.96118",Follow-up 2023
HF-000990,"Cain, Jones and Dunn Hospital",Polyclinic,292,,2022-09-15,2025-02-13,"-59.08534, 13.02326",Good
HF-000991,"Acosta, Bailey and Smith Hospital",Hospital,71,,2020-07-17,2025-09-17,,
HF-000992,"Vazquez, Brown and Reynolds Hospital",Polyclinic,0,,2018-07-21,2025-12-29,,
HF-000993,"Mckenzie, Hurst and White Polyclinic",Hospital,0,,2021-10-27,2025-10-08,"-59.19424, 12.90702",
HF-000994,"Carter, Montoya and Martinez Polyclinic",Community Health Center,0,,2023-05-21,2023-08-06,"-58.73791, 12.87269",
HF-000995,Kramer-Farmer,Polyclinic,482,,2020-03-05,2021-09-04,,Follow-up 2023
HF-000997,"Waters,-Vincent-and-Flores Polyclinic",Polyclinic,301,,2018-01-23,2019-06-06,"13331.0, 585210.0",Good
HF-000998,Smith-Powell Polyclinic,Hospital,317,,2022-01-14,2024-01-17,"13829.0, 59022.0",
HF-000999,Sharp and Sons Hospital,Hospital,285,,2022-12-16,2024-05-22,"-59.10566, 12.93133",
HF-001000,"Soto, Munoz and Gonzalez",,0,,2022-04-28,2024-07-03,"-58.89117, 12.8013",
HF-001001,Johnson-Graham Hospital,Hospital,10,,2018-06-21,2022-04-10,"-59.02048, 12.77559",Good
HF-001002,Miller-Lopez Polyclinic,Polyclinic,495,,2020-02-27,2022-08-29,"12492.0, 585618.0",
HF-001003,Reid-Shaw,Polyclinic,153,,2016-03-09,2019-04-08,"-58.93137, 13.06877",Good
HF-001004,"Chambers, Miller and Ellis",Polyclinic,445,Christ Church,2017-08-19,2020-12-02,,Good
HF-001005,Underwood Group Hospital,Community Health Center,261,,2023-05-10,2024-10-01,"12.84333, -58.74943",Follow-up 2023
HF-001006,Thompson and Sons Medical Center,,404,St. Peter,2016-05-01,2025-02-17,,Needs upgrade
HF-001007,Beck-Adams,Polyclinic,0,,2019-05-25,2024-08-24,"1320.0, 584842.0",
HF-001009,Baker and Sons Hospital,Community Health Center,128,,2022-09-10,2025-02-17,,
HF-001010,Owens,Community Health Center,166,,2018-12-22,2019-08-10,,Follow-up 2023
HF-001011,Mckinney Ltd,Community Health Center,54,,2019-10-07,2020-02-16,"131041.0, 585457.0",
HF-001012,Mcgee-Diaz Clinic,Community Health Center,10,,2020-04-30,2020-11-07,"-58.74323, 12.86537",
HF-001013,Mcgee-Diaz Clin,Community Health Center,10,,2020-04-30,2020-11-07,"-58.74323, 12.86537",
HF-001014,Mcmillan LLC Medical Center,,91,,2020-11-21,2024-05-08,"-58.7816, 13.04117",Reinspection due
HF-001015,Hale-,Hospital,0,,2020-07-10,2023-07-05,"124736.0, 59454.0",
HF-001016,Payne-Sloan Polyclinic,,0,,2017-04-26,2022-04-18,"125334.0, 585147.0",
HF-001017,"Smith, Burnett and Thornton Clinic",,312,,2018-11-16,2020-05-15,"13.15072, -58.72099",
HF-001018,Hill-Forbes Infirmary,Hospital,10,,2021-03-17,2023-12-29,"-59.02521, 13.13714",Reinspection due
HF-001019,"Goodwin, Peterson and Jones Clinic",,0,St. Lucy,2016-05-24,2023-08-21,,Reinspection due
HF-001020,"Lee,-Ashley-and-Rose",Community Health Center,209,,2019-09-20,2020-07-27,"1314.0, 59425.0",Follow-up 2023
HF-001021,"Duncan, Jacobson and Foster Polyclinic",Polyclinic,86,,2024-10-25,2025-06-15,,
HF-001022,Black-Velasquez Hospital,,401,,2017-05-10,2023-06-26,,
HF-001023,"Burton, Woods and Soto Health Centre",Community Health Center,359,,2016-04-09,2018-12-07,"13.10865, -58.71054",Good
HF-001024,"Espinoza, Curtis and Thompson Health Centre",Community Health Center,0,,2020-02-01,2025-12-24,"-58.94368, 12.73844",Good
HF-001025,Carlson Inc Hospital,Polyclinic,184,,2019-04-15,2019-08-06,"-59.20682, 13.02268",
HF-001026,Navarro-Thompson,Polyclinic,10,St. George,2021-11-28,2022-02-10,,
HF-001028,"Ho, Carlson and Carter",,388,,2018-08-17,2021-05-15,"125949.0, 585715.0",
HF-001029,"Parks, Vasquez and Hancock Clinic",Community Health Center,219,,2020-07-14,2022-09-22,,
HF-001030,"Huber, Bennett and Chavez Clinic",Polyclinic,22,St. James,2019-12-15,2023-06-18,"12.73943, -58.97865",
HF-001031,"Gordon, Garcia and Pollard",Polyclinic,0,,2023-08-18,2024-10-09,"13.25073, -58.78963",
HF-001032,Snyder,Community Health Center,411,,2023-12-30,2024-02-11,,
HF-001033,Garcia Ltd Clinic,Hospital,74,St. Joseph,2024-04-21,2024-05-20,,
HF-001034,Rodriguez-Ltd,Community Health Center,0,,2018-09-28,2023-06-08,"124210.0, 591412.0",
HF-001036,"Mcguire, Estrada and Bell Infirmary",Polyclinic,10,,2019-10-09,2022-03-12,"-59.08936, 13.25708",Reinspection due
HF-001037,"Garza, Harrington and Davis Hospital",Community Health Center,234,,2022-09-20,2024-11-25,"12.99877, -59.07534",Reinspection due
HF-001038,"Robinson,-Pham-and-Anderson Health Centre",Hospital,449,,2018-12-17,2025-02-20,"13.26438, -59.18007",Follow-up 2023
HF-001039,"Smith, Mcclure and Hill Polyclinic",Community Health Center,113,,2019-10-06,2023-06-20,,
HF-001040,"Davis,-Weber-and-Sanchez",Community Health Center,4,,2021-02-06,2022-10-15,,
HF-001041,Fox-Ltd,Community Health Center,389,,2019-11-20,2024-11-25,,
HF-001042,"Stafford, Foley and Wright Polyclinic",,0,,2016-01-14,2020-03-20,"-58.94433, 12.71312",
HF-001043,"Dunn, Green and Miller Infirmary",,10,St. Lucy,2018-11-05,,"125829.0, 59944.0",
HF-001044,Shepherd-Robinson Infirmary,Community Health Center,94,,2019-03-28,2024-07-12,,Reinspection due
HF-001045,Mcbride-Lopez,Community Health Center,0,St. John,2018-07-10,2019-08-18,"-59.22104, 13.08222",
HF-001046,Martinez LLC Health Centre,Polyclinic,183,,2021-12-02,2025-04-23,,Needs upgrade
HF-001047,Clark-Flynn,Polyclinic,0,,2019-04-21,2021-08-27,"-59.11628, 13.22592",
HF-001048,"Young, Dawson and Brown",Community Health Center,0,St. Peter,2021-06-30,2025-05-16,,
HF-001049,Miller-Bates Health Centre,Polyclinic,142,,2020-05-20,2021-10-20,"131744.0, 585837.0",Good
HF-001050,Burns-Edwards Hospital,Polyclinic,0,,2020-04-29,2021-02-23,"-59.11883, 13.29294",
HF-001051,Freeman-Gomez,,39,,2021-12-16,2024-12-17,"125138.0, 585058.0",
HF-001052,"Kemp, Jordan and Warner",Community Health Center,348,,2023-06-20,2025-04-25,,Reinspection due
HF-001053,Ryan and Sons Health Centre,Polyclinic,369,,2022-05-21,2024-05-24,,
HF-001054,Allen-Nelson Health Centre,Polyclinic,0,,2016-10-18,2025-11-03,,
HF-001055,Williams-Solomon,Community Health Center,0,,2025-04-24,2025-05-23,"13.03316, -59.01981",
HF-001056,Parker-Smith,Community Health Center,361,,2019-02-27,2022-08-10,"-58.73781, 12.95089",
HF-001057,Garcia-Lee Health Centre,,344,,2025-05-04,2025-07-12,,Reinspection due
HF-001058,Ward-and-Sons Medical Center,Community Health Center,310,,2023-10-22,2025-02-01,"13.17311, -58.87171",Needs upgrade
